round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,conv_padding,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
6,0.6926854069416339,0.5897435805736444,0.6931322240852196,0.6396568157595607,51,64,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.2,200,16,sigmoid,binary_crossentropy,0.1,200,2,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
6,0.11992231138751037,0.5897435805736444,0.12014269985052606,0.6396568165834571,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.0,200,32,sigmoid,logcosh,4.06,200,1,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.12026387975256667,0.4102564059261583,0.12011367777935997,0.36034318381428604,51,64,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.2,200,32,sigmoid,logcosh,0.1,200,2,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
6,0.11984365401614426,0.5897435899983104,0.1202356541179497,0.46806482381202474,51,16,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.1,200,32,sigmoid,logcosh,6.039999999999999,200,1,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.12016455950135858,0.41025641127529305,0.12029962954746189,0.5347950429264083,51,16,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.2,200,16,sigmoid,logcosh,6.039999999999999,200,4,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
6,0.12017618145188715,0.410256410511131,0.12019696169745024,0.5004766449914647,51,32,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.1,200,8,sigmoid,logcosh,6.039999999999999,200,2,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.12016614029804866,0.410256410511131,0.12018298586427427,0.4928503339351985,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.2,200,16,sigmoid,logcosh,8.02,200,1,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.12003835972048278,0.5897435805736444,0.12014868920109634,0.5061963773745373,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.2,200,32,sigmoid,logcosh,2.08,200,2,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.12010335342751609,0.5897435948380039,0.12013108896231856,0.48713060062879376,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.1,200,16,sigmoid,logcosh,2.08,200,2,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
6,0.17796140094088692,0.5897435948380039,0.21689045388034914,0.6396568165834571,51,32,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.0,200,32,sigmoid,logcosh,4.06,200,4,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
6,0.6923167659686162,0.5897435805736444,0.6931278361833243,0.6396568162993549,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.0,200,16,sigmoid,binary_crossentropy,0.1,200,1,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.69003599576461,0.5897435948380039,0.6932988265108448,0.6396568165834571,51,32,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.2,200,8,sigmoid,binary_crossentropy,0.1,200,4,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
7,0.6930585116402715,0.5897435805736444,0.6932109759692582,0.3898951383973441,51,64,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.0,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,4,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.12018656896220313,0.4102564059261583,0.12015861689731891,0.572926596900869,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.2,200,16,sigmoid,logcosh,6.039999999999999,200,4,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.6925639948274336,0.5897435899983104,0.6933591149896525,0.42993327000802534,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.2,200,8,sigmoid,binary_crossentropy,2.08,200,2,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
6,0.11978423576324414,0.5897435805736444,0.12013348868850075,0.6396568161857139,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.30000000000000004,200,32,sigmoid,logcosh,2.08,200,1,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
6,0.6897366637857552,0.5897435899983104,0.6933435689732503,0.6396568160436629,51,16,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,16,32,0.4,200,32,sigmoid,binary_crossentropy,0.1,200,1,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
10,0.7095335859518784,0.5213675320657909,0.6705345597803536,0.5929456622800563,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.1,200,16,sigmoid,binary_crossentropy,4.06,200,2,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.6933408359177092,0.4102564059261583,0.6934586741221985,0.379408960744696,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.30000000000000004,200,8,sigmoid,binary_crossentropy,8.02,200,1,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
