round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
8,0.10271355305981432,0.6666666702327565,0.07893331236675652,0.7712106775169264,49,32,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.1,200,160,sigmoid,logcosh,0.1,14000,4,2,<class 'keras.optimizers.Nadam'>,1.3623376623376624,2,10
9,0.12048978632331914,0.3504273504273504,0.12028670359271498,0.37273593900371893,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.0,200,20,sigmoid,logcosh,8.02,14000,1,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,10
9,0.6311139342112418,0.6581196586290995,0.35763024753962847,0.8303145853193518,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.0,200,40,sigmoid,binary_crossentropy,4.06,14000,1,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,10
25,0.532863071331611,0.7435897476652749,0.5435573576573989,0.7464251665982664,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.1,200,20,sigmoid,binary_crossentropy,0.1,14000,1,2,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,10
14,0.07881273832331356,0.7777777782872192,0.08170447257783324,0.7712106768919015,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.2,200,160,sigmoid,logcosh,0.1,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,10
7,0.08742592318190469,0.7606837637404091,0.09266802470410176,0.7502383219843484,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.1,200,80,sigmoid,logcosh,4.06,14000,4,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,5
9,0.11968136183981203,0.649572652629298,0.1202174124118825,0.5081029549397322,49,32,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.4,200,20,sigmoid,logcosh,6.039999999999999,14000,1,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,10
6,0.6959314697828048,0.3504273504273504,0.693941083149869,0.4547187798186867,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.1,200,160,sigmoid,binary_crossentropy,4.06,14000,2,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,20
22,0.08217871080861132,0.7606837611932021,0.08676312261530056,0.7588179220007759,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,16,64,0.4,200,20,sigmoid,logcosh,0.1,14000,2,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,5
18,0.08474064732973392,0.7350427355521765,0.06642452971184105,0.8131553862524442,49,16,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,64,0.30000000000000004,200,40,sigmoid,logcosh,0.1,14000,1,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,20
6,0.28177221208556086,0.3504273504273504,0.21689045235329973,0.36701620608085217,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.1,200,160,sigmoid,logcosh,8.02,14000,4,1,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,20
