round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
13,0.09511211164231993,0.7179487215148078,0.06951223364236585,0.8150619635477421,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,16,32,0.0,200,160,sigmoid,logcosh,0.1,14000,4,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
11,0.09837621514104371,0.7094017124583578,0.08197243728304728,0.7750238315961382,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.0,200,20,sigmoid,logcosh,8.02,14000,2,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.12012384927425629,0.44444444469916516,0.12030608109682372,0.5424213532155985,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.2,200,80,sigmoid,logcosh,8.02,14000,2,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
7,0.6929554526622479,0.5555555558102763,0.6905579118642271,0.5023832222867626,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,32,0.1,200,160,sigmoid,binary_crossentropy,2.08,14000,2,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
6,0.12000777986314562,0.5555555558102763,0.12024038991721274,0.5786463300084023,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.2,200,40,sigmoid,logcosh,8.02,14000,2,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.6935342076497201,0.4444444454633273,0.6931481222747279,0.6072449952406583,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,32,0.30000000000000004,200,80,sigmoid,binary_crossentropy,8.02,14000,1,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
6,0.19279151467176583,0.5555555558102763,0.2168904641577468,0.6434699714581551,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,64,0.0,200,80,sigmoid,logcosh,8.02,14000,1,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
6,7.16359802800366,0.5555555558102763,8.059047709884135,0.6434699716286164,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,32,0.30000000000000004,200,40,sigmoid,binary_crossentropy,6.039999999999999,14000,2,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
23,0.08487934128850953,0.760683764759292,0.07076957858779297,0.8093422303549782,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.0,200,80,sigmoid,logcosh,0.1,14000,1,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.6929264679933206,0.5555555606499697,0.6932006545357754,0.5815061960365797,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.1,200,160,sigmoid,binary_crossentropy,4.06,14000,2,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
6,0.6926451564854027,0.5555555606499697,0.6934642259340495,0.5519542423058283,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.2,200,80,sigmoid,binary_crossentropy,6.039999999999999,14000,1,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
10,0.6868767493810409,0.7094017096564301,0.4459011762964941,0.7769304100278449,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,64,0.1,200,40,sigmoid,binary_crossentropy,4.06,14000,1,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
6,0.12009347860629742,0.5555555606499697,0.12016790717470861,0.48999046713994504,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.1,200,20,sigmoid,logcosh,4.06,14000,4,2,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
14,0.6814807408895248,0.7521367523914728,0.4028166805254606,0.8169685415248853,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.4,200,40,sigmoid,binary_crossentropy,0.1,14000,2,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
8,0.1197835198070249,0.5555555558102763,0.12029608655134988,0.3908484271586339,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.1,200,20,sigmoid,logcosh,6.039999999999999,14000,2,2,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,8.856880815620096,0.4444444454633273,7.971191909906407,0.35653002861287053,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.0,200,40,sigmoid,binary_crossentropy,4.06,14000,4,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
6,0.6964253289067847,0.4444444454633273,0.6938998137802255,0.5510009535161283,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.2,200,40,sigmoid,binary_crossentropy,8.02,14000,4,2,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
6,0.6922604879762373,0.5555555606499697,0.6935017068006517,0.5996186846318531,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.2,200,160,sigmoid,binary_crossentropy,6.039999999999999,14000,4,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
6,0.692727645747682,0.5555555558102763,0.693249124419246,0.6177311727157425,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.4,200,160,sigmoid,binary_crossentropy,0.1,14000,2,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,10
9,0.6931341499344915,0.5555555558102763,0.693517828521783,0.3803622498469085,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.4,200,40,sigmoid,binary_crossentropy,6.039999999999999,14000,2,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
12,0.6623329280788063,0.6837606840154045,0.30715076348347475,0.8808388942417584,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,16,32,0.2,200,80,sigmoid,binary_crossentropy,0.1,14000,1,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.12022744991585739,0.4444444454633273,0.12023392541989243,0.37368922784313685,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.1,200,80,sigmoid,logcosh,4.06,14000,4,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
